trip_id,user_id,sex,age,date,station_code_origin,station_code_destination,duration_m
32244618,2521302,M,23,2024-01,GDL-108,GDL-242,7
32244617,616437,M,57,2024-01,GDL-034,GDL-195,3
32244616,2676710,F,38,2024-01,GDL-045,GDL-206,11
32244615,2426000,M,42,2024-01,GDL-046,GDL-010,12
32244614,2670421,M,34,2024-01,GDL-048,GDL-010,9
32244613,1463036,M,24,2024-01,GDL-133,GDL-063,5
32244612,2674460,M,23,2024-01,GDL-040,GDL-030,2
32244611,2207736,M,25,2024-01,ZPN-049,ZPN-012,10
32244610,422342,F,33,2024-01,GDL-048,GDL-010,10
32244609,2031530,M,21,2024-01,GDL-025,GDL-020,10
32244608,2644307,M,23,2024-01,GDL-102,GDL-003,13
32244607,1060024,F,33,2024-01,GDL-040,GDL-061,8
32244606,775423,M,25,2024-01,GDL-093,GDL-234,12
32244605,1335736,M,25,2024-01,GDL-125,GDL-182,10
32244604,1020473,M,62,2024-01,GDL-237,GDL-050,11
32244603,2402155,M,27,2024-01,GDL-028,GDL-251,12
32244602,2405075,F,21,2024-01,GDL-156,GDL-051,16
32244601,1101304,M,34,2024-01,GDL-065,GDL-181,13
32244600,2752536,M,35,2024-01,TLQ-004,TLQ-004,4
32244599,2405147,M,26,2024-01,GDL-070,GDL-015,10
32244598,2752701,M,41,2024-01,GDL-133,GDL-136,5
32244597,556314,M,29,2024-01,GDL-227,GDL-201,16
32244596,2245510,M,24,2024-01,GDL-139,GDL-131,13
32244595,56331,M,47,2024-01,GDL-022,GDL-009,29
32244594,2373666,F,30,2024-01,GDL-199,GDL-061,11
32244593,2414225,F,34,2024-01,GDL-048,GDL-010,17
32244592,1061537,M,35,2024-01,GDL-048,GDL-010,17
32244591,3352124,M,27,2024-01,GDL-232,GDL-091,3
32244590,2734041,M,20,2024-01,GDL-087,GDL-009,14
32244589,502155,M,52,2024-01,GDL-188,GDL-091,15
32244588,3353246,F,23,2024-01,GDL-028,GDL-038,5
32244587,1434050,M,30,2024-01,GDL-136,GDL-132,21
32244586,1401323,M,28,2024-01,GDL-113,GDL-182,22
32244585,2473015,M,34,2024-01,GDL-052,GDL-196,10
32244584,3353075,M,54,2024-01,GDL-028,GDL-038,6
